#{"t_start": 1773986688.9944594, "env_id": "None"}
r,l,t
0.0,667,18.74525
1.0,673,27.251767
1.0,673,36.391591
1.0,665,45.52462
1.0,670,53.088298
1.0,667,60.609648
-3.0,672,68.838495
1.0,672,77.498251
1.0,668,85.758676
-32.0,671,93.665116
-1.0,666,102.120821
1.0,670,113.605275
-16.0,671,122.530439
1.0,670,131.015819
-10.0,670,140.123607
-36.0,668,168.217521
-13.0,667,194.984053
-20.0,672,222.523671
-15.0,668,253.542979
-2.0,669,270.177341
-17.0,669,284.954411
-24.0,669,300.303277
-12.0,667,312.220388
-1.0,671,323.238596
-27.0,669,334.238727
-7.0,671,346.392493
-15.0,673,357.780192
-9.0,673,368.913324
-15.0,670,380.349862
-3.0,669,391.489388
-2.0,671,405.281767
-32.0,667,418.275705
-10.0,666,432.027676
